#year,month,day,lat,lon,frph,instrument
2023,4,5,48.18,125.4,36.01,AHI Himawari-9
2023,4,5,48.18,125.42,15.06,AHI Himawari-9
2023,4,5,48.18,125.44,15.06,AHI Himawari-9
2023,4,5,48.18,125.52,40.71,AHI Himawari-9
2023,4,5,48.18,125.54,10.36,AHI Himawari-9
2023,4,5,48.18,125.56,10.36,AHI Himawari-9
2023,4,5,48.18,125.64,35.68,AHI Himawari-9
2023,4,5,48.18,126.4,54.28,AHI Himawari-9
2023,4,5,48.18,126.42,54.28,AHI Himawari-9
2023,4,5,48.16,123.66,4.73,AHI Himawari-9
2023,4,5,48.16,124.38,41.81,AHI Himawari-9
2023,4,5,48.16,124.4,41.81,AHI Himawari-9
2023,4,5,48.16,124.42,51.6,AHI Himawari-9
2023,4,5,48.16,125.4,35.32,AHI Himawari-9
2023,4,5,48.16,125.42,35.32,AHI Himawari-9
2023,4,5,48.16,125.44,15.06,AHI Himawari-9
2023,4,5,48.16,125.52,40.71,AHI Himawari-9
2023,4,5,48.16,125.54,40.71,AHI Himawari-9
2023,4,5,48.16,125.56,119.36,AHI Himawari-9
2023,4,5,48.16,125.58,108.27,AHI Himawari-9
2023,4,5,48.16,125.6,108.27,AHI Himawari-9
2023,4,5,48.16,125.62,58.62,AHI Himawari-9
2023,4,5,48.16,125.64,39.69,AHI Himawari-9
2023,4,5,48.16,125.66,39.69,AHI Himawari-9
2023,4,5,48.16,125.76,18.87,AHI Himawari-9
2023,4,5,48.16,125.78,18.87,AHI Himawari-9
2023,4,5,48.16,125.82,17.74,AHI Himawari-9
2023,4,5,48.16,126.32,49.39,AHI Himawari-9
2023,4,5,48.16,126.42,22.94,AHI Himawari-9
2023,4,5,48.16,130.08,5.26,AHI Himawari-9
2023,4,5,48.14,123.66,4.73,AHI Himawari-9
2023,4,5,48.14,123.68,4.73,AHI Himawari-9
2023,4,5,48.14,124.38,41.81,AHI Himawari-9
2023,4,5,48.14,124.4,41.81,AHI Himawari-9
2023,4,5,48.14,124.42,51.6,AHI Himawari-9
2023,4,5,48.14,125.38,162.36,AHI Himawari-9
2023,4,5,48.14,125.4,119.95,AHI Himawari-9
2023,4,5,48.14,125.42,119.95,AHI Himawari-9
2023,4,5,48.14,125.44,80.43,AHI Himawari-9
2023,4,5,48.14,125.46,46.54,AHI Himawari-9
2023,4,5,48.14,125.48,46.54,AHI Himawari-9
2023,4,5,48.14,125.52,161.23,AHI Himawari-9
2023,4,5,48.14,125.54,161.23,AHI Himawari-9
2023,4,5,48.14,125.56,125.91,AHI Himawari-9
2023,4,5,48.14,125.58,113.04,AHI Himawari-9
2023,4,5,48.14,125.6,113.04,AHI Himawari-9
2023,4,5,48.14,125.62,78.18,AHI Himawari-9
2023,4,5,48.14,125.76,18.87,AHI Himawari-9
2023,4,5,48.14,125.82,17.74,AHI Himawari-9
2023,4,5,48.14,125.84,17.74,AHI Himawari-9
2023,4,5,48.14,126.04,109.59,AHI Himawari-9
2023,4,5,48.14,126.28,8.64,AHI Himawari-9
2023,4,5,48.12,125.38,162.32,AHI Himawari-9
2023,4,5,48.12,125.4,162.32,AHI Himawari-9
2023,4,5,48.12,125.42,119.95,AHI Himawari-9
2023,4,5,48.12,125.44,80.4,AHI Himawari-9
2023,4,5,48.12,125.48,46.54,AHI Himawari-9
2023,4,5,48.12,125.52,55.64,AHI Himawari-9
2023,4,5,48.12,125.54,161.23,AHI Himawari-9
2023,4,5,48.12,125.56,125.91,AHI Himawari-9
2023,4,5,48.12,125.58,125.91,AHI Himawari-9
2023,4,5,48.12,125.6,113.04,AHI Himawari-9
2023,4,5,48.12,125.62,78.18,AHI Himawari-9
2023,4,5,48.12,125.64,78.18,AHI Himawari-9
2023,4,5,48.12,125.74,30.52,AHI Himawari-9
2023,4,5,48.12,125.76,30.52,AHI Himawari-9
2023,4,5,48.12,125.84,27.08,AHI Himawari-9
2023,4,5,48.12,126.02,22.41,AHI Himawari-9
2023,4,5,48.12,126.04,59.94,AHI Himawari-9
2023,4,5,48.12,126.06,59.94,AHI Himawari-9
2023,4,5,48.1,124.48,57.53,AHI Himawari-9
2023,4,5,48.1,125.4,67.82,AHI Himawari-9
2023,4,5,48.1,125.42,58.06,AHI Himawari-9
2023,4,5,48.1,125.44,58.06,AHI Himawari-9
2023,4,5,48.1,125.46,67.59,AHI Himawari-9
2023,4,5,48.1,125.48,35.12,AHI Himawari-9
2023,4,5,48.1,125.5,35.12,AHI Himawari-9
2023,4,5,48.1,125.54,88.71,AHI Himawari-9
2023,4,5,48.1,125.56,88.71,AHI Himawari-9
2023,4,5,48.1,125.58,85.7,AHI Himawari-9
2023,4,5,48.1,125.6,76.63,AHI Himawari-9
2023,4,5,48.1,125.62,76.63,AHI Himawari-9
2023,4,5,48.1,125.64,76.63,AHI Himawari-9
2023,4,5,48.1,125.74,76.76,AHI Himawari-9
2023,4,5,48.1,125.76,78.05,AHI Himawari-9
2023,4,5,48.1,126.02,22.41,AHI Himawari-9
2023,4,5,48.1,126.04,59.94,AHI Himawari-9
2023,4,5,48.1,126.06,59.94,AHI Himawari-9
2023,4,5,48.1,126.28,9.23,AHI Himawari-9
2023,4,5,48.1,126.3,9.23,AHI Himawari-9
2023,4,5,48.08,124.44,29.82,AHI Himawari-9
2023,4,5,48.08,124.46,29.82,AHI Himawari-9
2023,4,5,48.08,125.54,88.71,AHI Himawari-9
2023,4,5,48.08,125.56,88.71,AHI Himawari-9
2023,4,5,48.08,125.58,85.7,AHI Himawari-9
2023,4,5,48.08,125.6,76.63,AHI Himawari-9
2023,4,5,48.08,125.64,76.63,AHI Himawari-9
2023,4,5,48.08,125.72,76.76,AHI Himawari-9
2023,4,5,48.08,125.74,76.76,AHI Himawari-9
2023,4,5,48.08,125.76,78.05,AHI Himawari-9
2023,4,5,48.08,125.92,13.8,AHI Himawari-9
2023,4,5,48.06,124.44,29.82,AHI Himawari-9
2023,4,5,48.06,124.46,29.82,AHI Himawari-9
2023,4,5,48.06,125.62,3.61,AHI Himawari-9
2023,4,5,48.06,125.64,18.07,AHI Himawari-9
2023,4,5,48.06,125.74,81.76,AHI Himawari-9
2023,4,5,48.06,125.86,5.63,AHI Himawari-9
2023,4,5,48.06,125.92,9.2,AHI Himawari-9
2023,4,5,48.04,125.32,4.7,AHI Himawari-9
2023,4,5,48.04,125.34,4.7,AHI Himawari-9
2023,4,5,48.04,125.74,81.76,AHI Himawari-9
2023,4,5,48.04,125.76,81.76,AHI Himawari-9
2023,4,5,48.04,125.78,70.17,AHI Himawari-9
2023,4,5,48.02,124.28,13.61,AHI Himawari-9
2023,4,5,48.02,124.3,13.61,AHI Himawari-9
2023,4,5,48.02,124.94,40.14,AHI Himawari-9
2023,4,5,48.02,124.96,40.14,AHI Himawari-9
2023,4,5,48.02,125,9,AHI Himawari-9
2023,4,5,48.02,125.02,9,AHI Himawari-9
2023,4,5,48,124.26,14.14,AHI Himawari-9
2023,4,5,48,124.28,13.61,AHI Himawari-9
2023,4,5,48,124.3,13.61,AHI Himawari-9
2023,4,5,48,125.42,6.91,AHI Himawari-9
2023,4,5,48,125.44,6.91,AHI Himawari-9
2023,4,5,47.98,124.26,14.14,AHI Himawari-9
2023,4,5,47.98,124.28,14.14,AHI Himawari-9
2023,4,5,47.98,125.4,10.42,AHI Himawari-9
2023,4,5,47.98,125.42,10.42,AHI Himawari-9
2023,4,5,47.98,126.08,13.35,AHI Himawari-9
2023,4,5,47.98,126.1,13.35,AHI Himawari-9
2023,4,5,47.98,126.12,11.59,AHI Himawari-9
2023,4,5,47.98,126.14,9.26,AHI Himawari-9
2023,4,5,47.98,126.16,9.26,AHI Himawari-9
2023,4,5,47.96,123.62,50.66,AHI Himawari-9
